Distance,K-Shell,Betweenness,Closeness,PageRank,Eigenvector,Katz,VoteRank
2,0.8181818181818182,0.08108108108108109,0.0,0.0,0.0,0.0,0.3793103448275862
3,0.8181818181818182,0.05263157894736842,0.0,0.0,0.02564102564102564,0.0,0.42857142857142855
4,1.0,0.08108108108108109,0.14285714285714285,0.0,0.3333333333333333,0.0,0.5384615384615384
5,1.0,0.5384615384615384,0.8181818181818182,0.02564102564102564,0.9047619047619048,0.0,0.6666666666666666
6,1.0,0.8181818181818182,1.0,0.2903225806451613,1.0,0.0,0.7391304347826086
7,1.0,1.0,1.0,0.6,1.0,0.0,0.8181818181818182
8,1.0,1.0,1.0,1.0,1.0,0.08108108108108109,1.0
9,1.0,1.0,1.0,1.0,1.0,0.5384615384615384,1.0
10,1.0,1.0,1.0,1.0,1.0,0.7391304347826086,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
