Node_ID,VoteRank
3,258
16,257
11,256
18,255
4,254
6,253
67,252
32,251
7,250
103,249
68,248
65,247
8,246
120,245
117,244
121,243
102,242
206,241
63,240
193,239
14,238
44,237
19,236
174,235
49,234
24,233
71,232
241,231
281,230
246,229
386,228
48,227
13,226
171,225
209,224
76,223
203,222
155,221
167,220
106,219
92,218
60,217
151,216
29,215
57,214
160,213
325,212
55,211
345,210
419,209
344,208
207,207
43,206
400,205
30,204
70,203
236,202
300,201
159,200
109,199
228,198
184,197
196,196
238,195
249,194
64,193
284,192
340,191
144,190
156,189
275,188
172,187
161,186
192,185
215,184
301,183
61,182
148,181
311,180
391,179
99,178
232,177
332,176
407,175
17,174
27,173
214,172
140,171
285,170
170,169
35,168
72,167
116,166
270,165
351,164
416,163
444,162
108,161
272,160
374,159
377,158
312,157
292,156
42,155
50,154
78,153
146,152
304,151
316,150
320,149
337,148
380,147
414,146
194,145
365,144
51,143
45,142
96,141
112,140
188,139
191,138
341,137
357,136
23,135
75,134
118,133
129,132
162,131
239,130
252,129
265,128
335,127
352,126
354,125
368,124
40,123
187,122
113,121
244,120
323,119
394,118
428,117
81,116
84,115
87,114
93,113
124,112
131,111
134,110
139,109
141,108
150,107
28,106
100,105
126,104
200,103
204,102
226,101
263,100
412,99
33,98
111,97
12,96
220,95
257,94
259,93
260,92
262,91
307,90
21,89
230,88
269,87
359,86
378,85
450,84
164,83
179,82
231,81
66,80
130,79
165,78
202,77
314,76
10,75
15,74
101,73
153,72
182,71
189,70
198,69
216,68
255,67
276,66
293,65
299,64
305,63
327,62
339,61
364,60
375,59
389,58
396,57
399,56
401,55
408,54
417,53
420,52
422,51
425,50
432,49
437,48
447,47
294,46
31,45
37,44
46,43
54,42
79,41
94,40
104,39
225,38
242,37
253,36
282,35
288,34
298,33
405,32
430,31
177,30
211,29
52,28
56,27
58,26
125,25
137,24
143,23
173,22
197,21
261,20
331,19
384,18
426,17
441,16
1,15
86,14
169,13
185,12
222,11
247,10
248,9
362,8
210,7
90,6
2,5
277,4
286,3
348,2
297,1
385,0
390,0
91,0
95,0
383,0
387,0
388,0
245,0
89,0
392,0
393,0
88,0
382,0
397,0
398,0
85,0
83,0
82,0
395,0
379,0
381,0
114,0
123,0
358,0
122,0
360,0
361,0
363,0
119,0
115,0
366,0
367,0
369,0
97,0
370,0
371,0
372,0
373,0
110,0
107,0
376,0
105,0
98,0
403,0
402,0
74,0
404,0
22,0
431,0
26,0
433,0
434,0
435,0
436,0
25,0
438,0
439,0
440,0
442,0
80,0
443,0
20,0
445,0
446,0
9,0
448,0
449,0
5,0
451,0
452,0
34,0
429,0
36,0
427,0
406,0
77,0
355,0
409,0
410,0
411,0
73,0
413,0
69,0
415,0
62,0
59,0
418,0
53,0
47,0
421,0
41,0
423,0
424,0
39,0
38,0
356,0
349,0
127,0
274,0
213,0
278,0
279,0
280,0
212,0
283,0
208,0
205,0
287,0
201,0
289,0
290,0
291,0
199,0
195,0
190,0
295,0
296,0
186,0
183,0
181,0
217,0
273,0
353,0
218,0
240,0
250,0
251,0
237,0
235,0
254,0
234,0
256,0
233,0
258,0
229,0
227,0
224,0
223,0
264,0
266,0
267,0
268,0
221,0
219,0
271,0
302,0
303,0
180,0
178,0
152,0
149,0
333,0
334,0
147,0
336,0
145,0
338,0
142,0
138,0
136,0
342,0
343,0
135,0
133,0
346,0
347,0
243,0
350,0
132,0
128,0
330,0
329,0
328,0
166,0
306,0
176,0
308,0
309,0
310,0
175,0
313,0
168,0
315,0
317,0
154,0
318,0
319,0
163,0
321,0
322,0
158,0
324,0
157,0
326,0
453,0
