Node_ID,Betweenness
509,0.42546171087619483
188,0.18321784616203374
433,0.10054438258512736
628,0.09710773473156857
702,0.084233448655378
782,0.07962830948537608
1333,0.07836346932147317
452,0.06525688732103362
272,0.06292309889292153
1014,0.06127527994231121
29,0.06118975842800586
1398,0.05986435025135923
1149,0.057513210935890825
1545,0.05378211344918548
485,0.051227965219667444
1168,0.05000300550092681
1388,0.04744512565913483
1094,0.0455248397912974
298,0.04420052291109376
825,0.04361640106499919
883,0.040202970190815854
938,0.039209834025961246
857,0.03688274527264073
1196,0.036036662651091844
986,0.03517689778508752
1033,0.034003174787888696
546,0.03359412172012407
824,0.03214183298707807
319,0.031776402894070084
1187,0.03135142442766763
282,0.029895752701784916
956,0.027748539792308888
114,0.027355766444907784
508,0.026410682958280272
965,0.026357881857049868
420,0.02620818364044969
1494,0.02611167812629237
1278,0.024998934056957217
892,0.02468227638070367
300,0.024668935819989555
1288,0.02370480001338116
436,0.02318520789173612
95,0.022689262141548174
448,0.02252669834228063
1481,0.022475292298095504
562,0.02163045755693989
1582,0.021556734299798843
999,0.021511107388404435
1533,0.02110283495232088
1212,0.02104919304321492
1289,0.02087222266557354
489,0.020233732286604696
285,0.019664681699916857
983,0.01957209834932158
284,0.019542390458905885
315,0.0188502211681251
320,0.018776172578046913
1041,0.017587894448279597
716,0.01743390500819487
1000,0.017210461941966165
227,0.01688407314248788
1344,0.01652517523155444
317,0.016427768040946932
490,0.016360945467116066
969,0.01633941693445274
1174,0.01633393829401089
978,0.016055010435318935
428,0.015573958753766463
1147,0.01537165151089051
1202,0.014404010626871695
1551,0.014031121392879623
1355,0.013883271142024168
873,0.013637330769126588
636,0.013348787851846329
38,0.013295818072066234
739,0.013108820685584496
147,0.013103880390631753
15,0.013103880390631753
1157,0.013103880390631753
906,0.013098478956010717
623,0.013087676086768647
1541,0.013087676086768647
1514,0.01307147178290554
979,0.01307147178290554
1578,0.012894422683637717
1298,0.012504695710317145
312,0.01201278974352936
1500,0.011908817193791148
1327,0.01145914354852649
849,0.011371627944702416
1556,0.011302193506208843
1565,0.011231004478994803
395,0.011171751419460809
1276,0.010804209684201685
1220,0.010649905726884323
1016,0.010605102741852028
