Distance,K-Shell,Betweenness,Closeness,PageRank,Eigenvector,Katz,VoteRank
2,0.6216216216216216,0.1111111111111111,0.0,0.0,0.0,0.0,0.5
3,0.7142857142857143,0.05263157894736842,0.0,0.01694915254237288,0.034482758620689655,0.0,0.5
4,1.0,0.15384615384615385,0.2765957446808511,0.0,0.30434782608695654,0.0,0.5789473684210527
5,1.0,0.4634146341463415,0.7142857142857143,0.034482758620689655,0.7647058823529411,0.0,0.7142857142857143
6,1.0,0.875,0.8181818181818182,0.30434782608695654,1.0,0.0,0.7647058823529411
7,1.0,0.9354838709677419,0.9354838709677419,0.7142857142857143,1.0,0.01694915254237288,0.8181818181818182
8,1.0,1.0,1.0,0.9354838709677419,1.0,0.17647058823529413,0.9354838709677419
9,1.0,1.0,1.0,1.0,1.0,0.5384615384615384,0.9354838709677419
10,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,0.9354838709677419
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
