Distance,K-Shell,Betweenness,Closeness,PageRank,Eigenvector,Katz,VoteRank
2,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.7391304347826086
3,0.7391304347826086,0.0,0.0,0.0,0.02564102564102564,0.0,0.6
4,0.7391304347826086,0.05263157894736842,0.14285714285714285,0.0,0.3333333333333333,0.0,0.5384615384615384
5,0.7391304347826086,0.14285714285714285,0.8181818181818182,0.02564102564102564,0.9047619047619048,0.0,0.3793103448275862
6,0.7391304347826086,0.17647058823529413,0.8181818181818182,0.17647058823529413,1.0,0.0,0.3793103448275862
7,0.7391304347826086,0.21212121212121213,0.8181818181818182,0.3333333333333333,1.0,0.0,0.3333333333333333
8,0.7391304347826086,0.21212121212121213,0.8181818181818182,0.48148148148148145,1.0,0.08108108108108109,0.2903225806451613
9,0.7391304347826086,0.21212121212121213,0.8181818181818182,0.48148148148148145,1.0,0.48148148148148145,0.2903225806451613
10,0.7391304347826086,0.21212121212121213,0.8181818181818182,0.48148148148148145,1.0,0.5384615384615384,0.2903225806451613
11,0.7391304347826086,0.21212121212121213,0.8181818181818182,0.48148148148148145,1.0,0.6666666666666666,0.2903225806451613
12,0.7391304347826086,0.21212121212121213,0.8181818181818182,0.48148148148148145,1.0,0.6666666666666666,0.2903225806451613
13,0.7391304347826086,0.21212121212121213,0.8181818181818182,0.48148148148148145,1.0,0.6666666666666666,0.2903225806451613
