Distance,K-Shell,Betweenness,Closeness,PageRank,Eigenvector,Katz,VoteRank
2,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
3,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.42857142857142855
4,0.6666666666666666,0.05263157894736842,0.1111111111111111,0.0,0.25,0.0,0.42857142857142855
5,0.6666666666666666,0.17647058823529413,0.8181818181818182,0.0,1.0,0.0,0.42857142857142855
6,0.6666666666666666,0.17647058823529413,0.8181818181818182,0.1111111111111111,1.0,0.0,0.3333333333333333
7,0.6666666666666666,0.17647058823529413,0.8181818181818182,0.3333333333333333,1.0,0.0,0.25
8,0.6666666666666666,0.17647058823529413,0.8181818181818182,0.42857142857142855,1.0,0.1111111111111111,0.25
9,0.6666666666666666,0.17647058823529413,0.8181818181818182,0.42857142857142855,1.0,0.42857142857142855,0.25
10,0.6666666666666666,0.17647058823529413,0.8181818181818182,0.42857142857142855,1.0,0.6666666666666666,0.25
11,0.6666666666666666,0.17647058823529413,0.8181818181818182,0.42857142857142855,1.0,0.6666666666666666,0.25
12,0.6666666666666666,0.17647058823529413,0.8181818181818182,0.42857142857142855,1.0,0.6666666666666666,0.25
13,0.6666666666666666,0.17647058823529413,0.8181818181818182,0.42857142857142855,1.0,0.6666666666666666,0.25
