Node_ID,Betweenness
15,0.47830526686331604
2,0.1134224353763976
5,0.09462754264363926
97,0.07873395047905543
56,0.07487731466349351
38,0.0589046026039507
12,0.044285572276576174
51,0.039127129044846526
214,0.03865075738839547
7,0.037890982588894596
9,0.037890982588894596
58,0.032733916144602235
49,0.02903103599866638
47,0.02903103599866638
55,0.025354437691045676
86,0.024185662581326137
148,0.023637284543439382
147,0.023497339417642715
52,0.01886376993489717
381,0.01758138257166965
235,0.017352167135773224
13,0.015977552574346746
25,0.013689584718407994
66,0.013177240730589814
99,0.010648632512850727
273,0.010412845890348006
4,0.009760629105771397
164,0.00913494317351029
127,0.008868040785269168
359,0.00882993544336087
114,0.00770930228859116
27,0.00743522204005169
144,0.007068140464594884
226,0.007047561363347989
103,0.006426150251628397
219,0.005869660004840764
123,0.005768700686159775
138,0.0056065721487065035
60,0.005432783671431737
355,0.004424778761061947
357,0.004424778761061947
281,0.004424778761061947
271,0.004424778761061944
166,0.004380821039044391
267,0.0037604733929420707
325,0.003644981526324371
233,0.003644898314176205
82,0.0035829390921761645
250,0.00351775199787866
179,0.0035098835096320277
57,0.0034128145670171933
131,0.0027987546666383444
81,0.002594746034484851
85,0.002423633458064673
341,0.002398523509354959
371,0.002357628092725132
259,0.002340386345860555
211,0.0019891402855289394
26,0.0019395862790106974
151,0.0018663688785154249
78,0.0017776545464976787
298,0.001772756832061189
65,0.0017703015319765695
72,0.0017697347058488078
312,0.0017566912388818478
356,0.0015955654544844787
87,0.0015739956791342173
386,0.0015724521262348331
210,0.0015369870403685903
108,0.0015289308108437393
264,0.0015225555409638276
139,0.0014851038808605603
251,0.0014849637723805087
190,0.0014840939746788768
383,0.001468385560766298
384,0.001468385560766298
382,0.001468385560766298
387,0.0014022483782145992
178,0.0013451868246835514
275,0.0013101882890012213
118,0.001304307663216579
389,0.0012428561253159459
258,0.0011926943672872453
69,0.0011724336144724873
344,0.001128682706062012
89,0.0010707209930172835
154,0.0010667833267422617
189,0.0010302038373422237
62,0.0010299832591514286
349,0.0009967950995887701
288,0.0009566808582051996
279,0.0009421813661665726
278,0.0009405434908902283
180,0.0009206700406890176
299,0.00088954397687718
301,0.0008856905989359336
120,0.0008622348269578391
70,0.0008324785264302578
134,0.0008106828599578706
266,0.0008021742279316857
112,0.0008016109025741244
331,0.0007985021638624387
215,0.0007774137028230824
202,0.0007736295994742774
126,0.0007611982582638469
160,0.0007523788755500733
193,0.0007517388453777907
391,0.0007476294492776336
203,0.0007375027528066922
113,0.0007331739306092889
245,0.0007307942347645013
159,0.000726581461012596
109,0.000709970411622282
162,0.0007006404611784177
191,0.0006971271033573581
333,0.0006852961711754204
319,0.0006806539860711381
255,0.0006595664973029734
54,0.0006531713393332394
150,0.0006480339932764698
110,0.000646489790268838
146,0.000644652480297949
104,0.0006354176418555586
293,0.0006274263984951922
163,0.000584535747535472
173,0.0005713338532526102
36,0.0005543273740526366
240,0.0005411597527967926
37,0.0005344530803694035
268,0.0005204975195494133
64,0.0005023587437309624
370,0.0005023416883500513
172,0.0004957178064627934
8,0.0004885379853999985
243,0.0004746369588226404
95,0.00047346515839095195
